User_ID,Role,File_Path,Behavior_Probability,Access_Granted
UID947190,consumer,/cloud/finance/budget/2023/03/version_1/priority_4/expense_report_49384.csv,0.15,True
UID508834,bank_clerk,/cloud/it/security/2022/02/version_4/priority_1/firewall_logs_59382.csv,0.09,False
UID698538,bank_manager,/cloud/operations/logistics/2022/01/version_1/priority_4/shipment_83473.csv,0.37,False
UID561259,consumer,/cloud/finance/reports/2020/06/version_1/priority_3/audit_56734.csv,0.3,False
UID771419,sys_admin,/cloud/finance/forecasting/2022/12/version_1/priority_2/financial_forecast_72918.csv,0.21,True
UID709748,bank_clerk,/cloud/finance/budget/2023/03/version_1/priority_4/expense_report_49384.csv,0.16,True
UID889372,consumer,/cloud/sales/transactions/2023/06/version_2/priority_3/customer_purchases_83729.csv,0.37,False
UID527503,consumer,/cloud/sales/reports/2022/02/version_4/priority_1/sales_performance_73829.csv,0.62,False
UID921808,sys_admin,/cloud/operations/logistics/2020/09/version_3/priority_2/delivery_schedule_29283.csv,0.36,False
UID686653,sys_admin,/cloud/finance/budget/2021/03/version_2/priority_2/transactions_48291.csv,0.47,True
UID631995,software_dev,/cloud/hr/employee_data/2021/08/version_2/priority_1/employee_performance_98457.csv,0.19,False
UID489285,bank_manager,/cloud/finance/budget/2022/09/version_3/priority_1/forecast_19384.csv,0.23,True
UID369292,sys_admin,/cloud/finance/reports/2020/06/version_1/priority_3/audit_56734.csv,0.57,False
UID412315,bank_manager,/cloud/hr/employee_data/2020/12/version_2/priority_1/employees_19374.csv,0.39,False
UID804877,software_dev,/cloud/sales/reports/2022/02/version_4/priority_1/sales_performance_73829.csv,0.24,False
UID112595,bank_manager,/cloud/marketing/social_media/2023/09/version_4/priority_2/campaign_metrics_19283.csv,0.44,True
UID505676,consumer,/cloud/finance/investments/2020/02/version_1/priority_1/transactions_95787.csv,0.1,False
UID538144,sys_admin,/cloud/finance/budget/2022/09/version_3/priority_1/forecast_19384.csv,0.16,False
UID196340,software_dev,/cloud/it/security/2022/02/version_4/priority_1/firewall_logs_59382.csv,0.32,False
UID184373,sys_admin,/cloud/operations/logistics/2020/09/version_3/priority_2/delivery_schedule_29283.csv,0.24,True
UID842892,bank_manager,/cloud/finance/budget/2021/03/version_2/priority_2/transactions_48291.csv,0.14,False
UID522168,sys_admin,/cloud/operations/logistics/2022/11/version_2/priority_2/shipment_details_59203.csv,0.41,True
UID671192,consumer,/cloud/finance/budget/2022/09/version_3/priority_1/forecast_19384.csv,0.04,False
UID755316,sys_admin,/cloud/operations/logistics/2021/05/version_2/priority_1/shipment_invoices_28374.csv,0.36,True
UID419906,software_dev,/cloud/operations/logistics/2022/11/version_2/priority_2/shipment_details_59203.csv,0.3,True
UID789376,consumer,/cloud/marketing/seo/2023/06/version_5/priority_2/website_traffic_58392.csv,0.42,True
UID607978,software_dev,/cloud/operations/logistics/2022/01/version_1/priority_4/shipment_83473.csv,0.36,False
UID822886,consumer,/cloud/marketing/analytics/2022/08/version_3/priority_2/customer_analysis_48192.csv,0.14,False
UID278438,consumer,/cloud/finance/reports/2021/02/version_2/priority_3/quarterly_83956.csv,0.54,True
UID802950,sys_admin,/cloud/finance/tax/2021/01/version_2/priority_4/tax_reports_23948.csv,0.05,False
UID905132,consumer,/cloud/hr/employee_data/2022/04/version_2/priority_3/employee_salaries_98234.csv,0.21,True
UID634809,sys_admin,/cloud/finance/budget/2023/03/version_1/priority_4/expense_report_49384.csv,0.47,False
UID842983,consumer,/cloud/marketing/social_media/2023/09/version_4/priority_2/campaign_metrics_19283.csv,0.17,False
UID124417,bank_clerk,/cloud/finance/investments/2020/02/version_1/priority_1/transactions_95787.csv,0.32,False
UID503523,consumer,/cloud/it/security/2022/04/version_2/priority_3/security_logs_38273.csv,0.04,True
UID599591,bank_clerk,/cloud/finance/reports/2021/02/version_2/priority_3/quarterly_83956.csv,0.42,True
UID547873,bank_clerk,/cloud/finance/investments/2020/02/version_1/priority_1/transactions_95787.csv,0.4,False
